Name,Value
PlacementModeCameraMinZoomPct,10
CreditsComissionRatePct,12
HydrogenComissionRatePct,10
InactivityDisconnectTimeSec,6000
ShipHealRateOnPlanetPerTick,250
GooglePlayDownloadURL,market://details?id=com.ParallelSpace.Cerberus
AppleDownloadURL,https://itunes.apple.com/us/app/hades-star/id1058502954?ls=1&mt=8
RedStarHintsCount,15
BlueStarHintsCount,5
RedStarHintTimer,12
NumSecondsBeforeSupernovaToSendNotification,120
DebugChecksumMode,0
HUDNotificationMessageLifetime,7
EnableTutorialCommandLimiter,1
CorporationCreationCost,10000
TimeToTravelActiveWarpLaneSegmentSeconds,2
DistanceToWarpGatePriceFactor,9
WarpLaneActivationTimeHrs,24
MinShipLevelThatSupportsRename,2
MaxTutorialHintDisplayTime,12
MaxShipmentsToShowOnTransport,8
FacebookURL,https://facebook.com/hadesstar
InstagramURL,https://www.instagram.com/hadesstargame/
TwitterURL,https://twitter.com/hadesstargame
DiscordURL,https://discord.gg/hadesstar
TwitchTVURL,
StarterPackShipUpgradeDiscountPct,10
DockAngleIncrement,60
DragToMoveAreaTolerance,150
ShipDockOffsetX,250
ShipDockOffsetY,200
MaxAllianceMessageLength,300
LargeSystemTravelTimeModifier,360
LargeSystemCombatTurnModifier,60
ReplayVersion,24
CorporationScoreIntervals,10!20!100
CorporationScoreDividers,2!4!10
BarrageEmissionRatePerEnemyInRange,5
PlaceIncomingStargateInMiddleOfSector,1
TutorialPanelReopenTimeSeconds,15
TutorialPanelActionTimeoutMs,1500
BeamMinSize,3
BeamMaxSize,100
ShipmentAllowOverloadFactor,200
MinDestroyerSpawnTime,10
MaxDestroyerSpawnTime,60
AsteroidDisplaySizes,50!200
EnableDec18CrystalShipmentPack,0
MoonDockOffset,90
NewsURL,http://www.hadesstar.com/news/{0}.json
WhiteStarParticleSlowdown,4
DisableRSSearchDuringTutorial,1
WarnOnSRSPlacementMinNumNeighbors,3
ConnectionPortOrders,0!0!1
ConnectionTimeouts,3000!3000!3000
RelicModel,artifacts/Relic01
RelicSize,4
RelicTID,TID_RELIC
RelicLoadTicks,240
CorpMaxMinInfluence,10000
CorpMinInfuenceIncrements,100!250
CorpMinInfluenceDiv,1000
MaxAllianceSearchResults,30
BrowsingLatestChatMsgThreshold,1150
ClearInputFocusOnPingUI,1
MaxHydroStoredInAsteroid,1500
SupportViaWebPage,1
SupportWebURL,http://www.hadesstar.com/{0}/support.html?uid={1}&pcc={2}
SupportWebURLSteam,http://www.hadesstar.com/{0}/support.html?uid={1}&pcc={2}
CorpSearchInfluenceMax,100000
CorpSearchInfluenceIncrement,2000
CorpSearchInfluenceDefault,50000
WhiteStarHintCount,11
WhiteStarHintTimer,12
SectorEnrichCooldownSeconds,86400
SectorGenesisCooldownSeconds,720
WSMaxBSPerPlayer,1
WSMaxOtherPerPlayer,1
WSLostBSTimeCooldown,64800
WSLostOtherTimeCooldown,64800
WSJumpBSTimeCooldown,7200
WSJumpOtherTimeCooldown,7200
WSCRRewardsMin,35000!12000!10000
WSCRRewardsMax,200000!100000!90000
WSHYRewardsMin,8000!3000!2000
WSHYRewardsMax,60000!30000!27000
WSRewardFactorPerBucket,100!105!110!120
WSRewardsMinLevel,20
WSRewardsMaxLevel,150
WSRewardExcessCrystalFactor,10
WSMinInfluenceGain,10
WSMaxInfluenceGain,100
WSMaxInfluenceDiff,3000
UnityMaxDamageIncreasePct,100
ClientMovePrediction,1
MaxScheduledOrders,8
MaxTimeMachineFutureSeconds,172800
WSBucketSizes,5!10!15!20
TimeMachineRewindIntervalSeconds,43200
ClientCheckForDoubleArtifactLoad,1
InterceptorPrioritizeTriggerer,1
MaxAsteroidsInSector,14
DestinyDisableTimes,10!48
DontAllowUseOfEnemyWSGate,1
CUnitShipmentScaleY,693
CUnitShipmentSpacingY,303
CUnitShipmentMinMax,1!4
BarrageMaxAdditionalEnemies,16!8
WSShipXPCollectEnabled,0
WSShipMinXP,1000
WSShipXPEventClientDisplayMode,0
WSShipEventTopBrackets,3!20!200
WSShipEventCRRewards,8000!3000!1000
WSShipXPEventVersion,2
ShowActiveStars,1
HardTouchEnableIOS,1
HardTouchEnableAndroid,0
HardTouchEnablePressure,75
HardTouchZoomFactor,50
LeaderboardDlgChuckItems,20
PhoenixAIShipDirPositiveBonusPct,80
PhoenixAIShipDirNegativePenaltyPct,60
AppsFlyeriOS,1
AppsFlyerAndroid,1
OutpostMaxShipmentDestinations,100
WarpLaneAutoPath,1
WarpLaneAutoAbortMs,100
WarpLaneMaxSearchDepth,4
TimeMachineAffectFxSpeed,1
SanctuaryHydroCostPct,0
BondMinPullVector,100!100
GoalRushCostMultiplier,100
FadeLoadingShipments,1
ShipsHealOnAnyObject,1
BackgroundReloadSec,30
AutoWarpLaneMinActivationTimeMin,2
AutoWarpLaneCheckCerberus,1
AutoWarpLaneCheckCerbAdjSectors,0
OldTutorialRemapArray,T0!T0!T1!T2!T3!T3!T3!T3!T3!T3!T3!T4!G2!G2!G2!G2!G2!G2!G2!G3!G3!G3!G3!G3!G4!G4!G4!G5!FN!FN!FN
AppleIAPCV,0
SmoothBarTimeSec,60
UseNewAutoShipmentLogic,1
NewAutoShipmentSameOutpostWeightFactor,10
BondOverridesBarrier,1
LeapBreaksBond,1
DestinyBreaksBond,1
TeleportBreaksBond,1
BondBreaksBond,1
TimeModulationFxSpeedup,300
NoKeepAliveDuringLoad,1
BondMaxPullListSize,20
BondWorksOnLoadingTransport,1
SDBonusIsPerAddShipment,1
CValidateRouteES,1
PrivateRSEventClientDisplayMode,2
FollowJumpShipImmediately,0
FreeObjectiveRefreshIntervalHr,72
SanctuaryDisableTime,0
SeparationMaxZoom,15
SeparationClampSize,45
SeparationMinDistance,8
SeparationMaxDistance,12
SeparationModifier,200
MinMultiSelectDistance,1000
UseSeparationInYS,0
SafeInterceptorInPublicRS,1
AOEShieldPriority,1
NoCerbBondTeleportPRS,1
StoreArtifactBonusYield,20
BomberLaunchOffsetV,50!100
AllShipmentInstaLoadYS,1
PubRSEMPReqEnemies,1
BlueStar_CRRewardRate,90
BlueStar_CRRewardWinLimit,1
BlueStar_CRRewardWinLimitPeriod,86400
BlueStar_HydroPctPerMatch,10
BlueStar_HydroPctPerPos,100!60!25!10!0
BlueStar_MaxHydroPerDayPct,25
BlueStar_Fragments,12!8!5!3!0
BlueStar_SPFactor,25
KillShipOn0H,1
BSAI_MinContrDistance,500
BSAI_EndGameSOCount,60
BSAI_MaxMoveWeight,1000000
BSAI_EG_StarPenalty,0
BSAI_EG_KZPenalty,500
STPeriodTicks,300
MaxBSShipDesigns,4
RefreshWeaponFxOnSelect,0
